Date,Open,High,Low,Close,Adj Close,Volume
2013-01-31,65.28286,65.611427,64.997147,455.48999,65.07,79833600
2013-02-01,65.587143,65.639999,64.050003,453.619995,64.802856,134871100
2013-02-04,64.844284,65.134285,63.142857,442.320007,63.188572,119279300
2013-02-05,63.435715,65.677139,63.174286,457.840027,65.405716,143336900
2013-02-06,65.209999,66.64286,64.654289,457.350006,65.335716,148426600
2013-02-07,66.178574,67.14286,64.874283,468.220001,66.888573,176145200
2013-02-08,67.714287,68.401428,66.89286,474.980011,67.854286,158289600
2013-02-11,68.071426,69.277145,67.60714,479.930023,68.561432,129372600
2013-02-12,68.501427,68.91143,66.82,467.899994,66.842857,152263300
2013-02-13,66.744286,67.662857,66.174286,467.01001,66.715714,118801900
2013-02-14,66.360001,67.377144,66.288574,466.590027,66.655716,88818800
2013-02-15,66.978569,67.165718,65.702858,460.160004,65.737144,97936300
2013-02-19,65.871429,66.104286,64.835716,459.990021,65.71286,108945900
2013-02-20,65.384285,65.384285,64.114288,448.850006,64.121429,119075600
2013-02-21,63.714287,64.167145,63.259998,446.059998,63.722858,111795600
2013-02-22,64.178574,64.514282,63.799999,450.809998,64.401428,82663700
2013-02-25,64.835716,65.017143,63.224285,442.799988,63.257141,93144800
2013-02-26,63.402859,64.505714,62.522858,448.970001,64.138573,125374900
2013-02-27,64.061432,64.634285,62.950001,444.569977,63.509998,146837600
2013-02-28,63.435715,63.98143,63.057144,441.400024,63.057144,80628800
2013-03-01,62.57143,62.597141,61.425713,430.470001,61.495716,138112100
2013-03-04,61.114285,61.171429,59.857143,420.049988,60.007141,145688900
2013-03-05,60.21143,62.169998,60.107143,431.139984,61.591427,159608400
2013-03-06,62.072857,62.17857,60.632858,425.660004,60.808571,115062500
2013-03-07,60.642857,61.715714,60.151428,430.580017,61.511429,117118400
2013-03-08,61.400002,62.204285,61.23,431.720001,61.674286,97870500
2013-03-11,61.392857,62.715714,60.734287,437.869995,62.552856,118559000
2013-03-12,62.228573,62.697144,61.081429,428.429993,61.204285,116477900
2013-03-13,61.207142,62.07143,60.765713,428.349976,61.192856,101387300
2013-03-14,61.832859,62.091427,61.492859,432.5,61.785713,75968900
2013-03-15,62.561428,63.46143,62.464287,443.660004,63.380001,160990200
2013-03-18,63.064285,65.351425,63.028572,455.720032,65.102859,151549300
2013-03-19,65.64286,65.852859,64.071426,454.48999,64.927139,131693800
2013-03-20,65.345711,65.375717,64.227142,452.079987,64.582855,77165200
2013-03-21,64.317146,65.425713,64.300003,452.72998,64.675713,95813900
2013-03-22,64.940002,66.014282,64.730003,461.910004,65.987144,98776300
2013-03-25,66.384285,67.135712,65.968575,463.580017,66.225716,125283900
2013-03-26,66.491432,66.548569,65.790001,461.140015,65.877144,73573500
2013-03-27,65.208572,65.257141,64.389999,452.079987,64.582855,82809300
2013-03-28,64.260002,64.545715,63.08857,442.660004,63.237144,110709900
2013-04-01,63.128571,63.385715,61.105713,428.910004,61.272858,97433000
